요양기관명,요양종별,시도명,도로명주소,표시과목명,개설일자,전화번호,lat,lng
엄시내소아청소년과의원,의원,서울,"서울특별시 송파구 위례광장로 193, 대길프라자 3층 3-4호 (장지동)",소아청소년과,2026-06-17,02-6952-9154,37.4817394651186,127.142191034933
셀365웰정형외과재활의학과의원,의원,서울,"서울특별시 강남구 도산대로 117, 4, 5층 (신사동)",정형외과,2026-06-01,02-547-0365,37.5171674389221,127.021170022532
설명한의원,한의원,서울,"서울특별시 송파구 백제고분로48길 20, 2층 (방이동)",,2026-06-15,02-424-0824,37.5108957039321,127.115280501762
안도의원,의원,서울,"서울특별시 송파구 석촌호수로 61, 트리지움 401호 (잠실동)",일반의,2026-06-19,02-421-0416,37.5106960472158,127.086224807954
리숨성형외과의원,의원,서울,"서울특별시 강남구 논현로 842, 압구정빌딩 6층 601호 (신사동)",성형외과,2026-06-25,02-3445-7770,37.5240379714226,127.028730922791
아이백의원,의원,서울,"서울특별시 강남구 테헤란로 121, 원빌딩 601호 (역삼동)",일반의,2026-06-10,02-569-0107,37.4994161773038,127.031062762603
옵티마웰니스뮤지엄신사약국,약국,서울,"서울특별시 강남구 도산대로 117, 1층 (신사동)",,2026-06-17,02-3445-7698,37.5171674389221,127.021170022532
송정윤유외과의원,의원,서울,"서울특별시 송파구 중대로 80, 문정프라자 (문정동)",외과,2026-06-10,02-443-7500,37.4917620371568,127.117842816756
연세자인정신건강의학과의원,의원,서울,"서울특별시 마포구 도화길 43, 나눔빌딩 4층 409 일부호 (도화동)",정신건강의학과,2026-06-08,02-717-7706,37.5417888185389,126.950254336175
플라이크2층약국,약국,서울,"서울특별시 은평구 진관2로 15-13, 플라이크 은평 E동 2층 224~5호 (진관동)",,2026-06-10,010-2727-6348,37.6357731568395,126.918261687296
연세세브란스치과의원,치과의원,서울,"서울특별시 영등포구 신길로 137, 신길태원빌딩 3층 (신길동)",,2026-06-25,02-6101-2080,37.5045756440101,126.910071422562
지속가능한아름다움지아의원,의원,서울,"서울특별시 강남구 봉은사로 331, SH타워 5층 (논현동)",일반의,2026-06-25,02-6339-0024,37.5102810924204,127.042972144359
신사힐스약국,약국,서울,"서울특별시 서초구 강남대로 589, 1동 1층 101호 (잠원동)",,2026-06-22,02-511-3457,37.5144406772564,127.019386390307
다드림한의원,한의원,서울,"서울특별시 강남구 남부순환로 2927, 대치 클래시아 501호 (대치동)",,2026-06-11,02-3288-8828,37.4936757916501,127.060358414855
보아스이비인후과의원,의원,서울,"서울특별시 양천구 목동동로 309, 행복한백화점((주)한국중소벤처기업유통원) 6층 (목동)",이비인후과,2026-06-25,02-2646-7575,37.5292109947037,126.875984665042
맑은약국,약국,서울,"서울특별시 마포구 동교로 111, 1층 (서교동)",,2026-06-05,02-336-1757,37.5549072326764,126.914484232433
고운빛한의원,한의원,서울,"서울특별시 영등포구 국회대로62길 15, B1 2호 (여의도동)",,2026-06-09,02-783-7525,37.5270870121653,126.916930544113
대림우리정형외과의원,의원,서울,"서울특별시 영등포구 디지털로53길 23, 한송빌딩 2층, 3층, 4층 (대림동)",정형외과,2026-06-05,02-847-0099,37.4924331154734,126.89984211821
레이어의원,의원,서울,"서울특별시 강남구 압구정로 162, 베네하임시티 4층 405, 406호 (신사동)",일반의,2026-06-09,02-3444-1011,37.5263096990298,127.027465990023
르셀청담의원,의원,서울,"서울특별시 강남구 도산대로57길 20, 오페라하우스 지하 1층 (청담동)",일반의,2026-06-09,02-515-3747,37.5249128597683,127.041678101981
올리준의원,의원,서울,"서울특별시 용산구 이태원로 190, 2층 (이태원동)",일반의,2026-06-10,02-6952-5090,37.5343210705639,126.995053004269
가양바로힐신경외과의원,의원,서울,"서울특별시 강서구 양천로 470, 그레이스힐 3층 315호 (등촌동)",신경외과,2026-06-05,02-6734-8275,37.562064740914,126.852482159998
구름약국,약국,서울,"서울특별시 강서구 공항대로3길 40-6, 1층 103호 (공항동)",,2026-06-26,010-2285-0866,37.5634700205616,126.810837360857
365종로행복약국,약국,서울,"서울특별시 종로구 종로 365, 종로어반더힐 102호 (숭인동)",,2026-06-29,010-9216-5866,37.5739006593057,127.017856030002
포에버의원,의원,서울,"서울특별시 중구 남대문로 78, 타임워크명동빌딩 2층 (명동1가)",일반의,2026-06-11,02-779-7771,37.5641849908728,126.983004582977
선샤인의원,의원,서울,"서울특별시 송파구 올림픽로 102, 서일빌딩 10층 (잠실동)",일반의,2026-06-17,02-421-7588,37.5114258315489,127.081962651177
온누리수약국,약국,서울,"서울특별시 강동구 올림픽로 796, 1층 일부 (암사동)",,2026-06-17,02-2144-6411,37.5520742461293,127.128534669022
삼성치유정신건강의학과의원,의원,서울,"서울특별시 용산구 백범로 341, 2층 208,209호 (원효로1가, 리첸시아용산A)",정신건강의학과,2026-06-09,02-702-7235,37.5379811146025,126.967987897826
서울용산외과의원,의원,서울,"서울특별시 용산구 새창로 217, 용산토투밸리 6층 601~608호 (한강로2가)",외과,2026-06-10,010-9112-0062,37.5302166820111,126.967776259525
도레미약국성수점,약국,서울,"서울특별시 성동구 성수이로 75, 1층 (성수동2가)",,2026-06-26,010-9911-5887,37.54182407391,127.055929258784
한음한방신경정신과한의원,한의원,서울,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 5층 501,512호 (목동)",,2026-06-25,02-2644-4547,37.5247775349288,126.875820730078
청담브릿신경과의원,의원,서울,"서울특별시 강남구 학동로 411, 5층 501호 (청담동)",신경과,2026-06-17,02-6214-8275,37.5180972856452,127.044713083924
진약국,약국,서울,서울특별시 동작구 동작대로,,2026-06-19,010-2325-0872,37.4916552859439,126.982677728467
포레온마트약국,약국,서울,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 B202호 (둔촌동)",,2026-06-09,010-9164-0379,37.5274758605763,127.137046059861
아크치과의원,치과의원,서울,"서울특별시 중구 무교로 28, 시그너스빌딩 2층 202호 (무교동)",,2026-06-29,02-318-3633,37.5684685945706,126.979583594759
대치보라안과의원,의원,서울,"서울특별시 강남구 남부순환로 2941, 대치탑프라자 201호 (대치동)",안과,2026-06-11,02-2039-6115,37.4942633335042,127.061934331534
스마일약국,약국,서울,"서울특별시 용산구 독서당로 67, 2층 204호 (한남동)",,2026-06-24,02-2088-6011,37.5338685001492,127.008153600765
더하트내과의원,의원,서울,"서울특별시 종로구 통일로 134, NH농협타워 2층 (평동)",내과,2026-06-01,02-738-7555,37.5667350238449,126.966357200132
캐치성형외과의원,의원,서울,"서울특별시 강남구 강남대로 478, 제우빌딩 5층 (논현동)",성형외과,2026-06-12,02-543-9995,37.5051062753525,127.024669466556
로이한의원,한의원,서울,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 3층 308호 (신천동)",,2026-06-18,02-417-4001,37.5146152773177,127.102522142353
릴리프정형외과의원,의원,서울,"서울특별시 중구 남대문로10길 9, 경기빌딩 302~304호 (삼각동)",정형외과,2026-06-23,02-6959-6891,37.5672075049558,126.983233108359
참약사미소약국,약국,서울,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 4층 4017호 (둔촌동)",,2026-06-09,02-477-5323,37.5274758605763,127.137046059861
디디치과의원,치과의원,서울,"서울특별시 강서구 공항대로 103, 판매시설2동 212호 (마곡동, 마곡 엠밸리 9단지)",,2026-06-05,02-2662-2828,37.5622669688172,126.81920602303
청담뷰엘의원,의원,서울,"서울특별시 강남구 도산대로 410, 10층 (청담동)",일반의,2026-06-08,02-517-2896,37.5229744987941,127.040482091901
사암도봉한의원,한의원,서울,"서울특별시 도봉구 도봉로 726, 2층 (방학동)",,2026-06-19,02-954-2012,37.6690623787094,127.043851849234
원앤온리성형외과의원,의원,서울,"서울특별시 강남구 강남대로94길 18, 7층 (역삼동)",성형외과,2026-06-29,02-565-1800,37.4993816940953,127.028830264591
지율정신건강의학과의원,의원,서울,"서울특별시 관악구 관악로 158, BS TOWER 4층 401호 (봉천동)",정신건강의학과,2026-06-09,02-876-0101,37.4793104352293,126.952808280216
포레나약국,약국,서울,"서울특별시 강북구 솔샘로53길 21, 2층 225호 (미아동, 한화포레나미아)",,2026-06-16,02-6014-2011,37.6198926294966,127.022278475056
새솔키즈소아청소년과의원,의원,서울,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 4018~4020호 (둔촌동)",소아청소년과,2026-06-02,02-486-7579,37.5274758605763,127.137046059861
삼대한방병원,한방병원,서울,"서울특별시 금천구 가산로 70, A동 3,4,5층 (독산동)",,2026-06-26,02-6673-1075,37.4724361540472,126.896108716743
백구약국,약국,서울,"서울특별시 마포구 서강로 131, 2층 203호 (노고산동)",,2026-06-11,02-000-0000,37.5543582869986,126.935036724801
이레라움의원,의원,서울,"서울특별시 강남구 강남대로 498, 명성 3층 (논현동)",일반의,2026-06-12,02-6207-2237,37.5066956332162,127.023866868452
오닉스성형외과의원,의원,서울,"서울특별시 강남구 강남대로94길 18, 8층 (역삼동)",성형외과,2026-06-24,02-557-8883,37.4993816940953,127.028830264591
이로성형외과의원,의원,서울,"서울특별시 서대문구 신촌로37길 10, 아현 메디컬 8층 801호 (북아현동)",성형외과,2026-06-08,02-363-5501,37.5576654886412,126.957137829236
고덕다올한의원,한의원,서울,서울특별시 강동구 고덕로,,2026-06-12,02-426-7545,37.5549803761105,127.153671778224
프로미스비뇨의학과의원,의원,서울,"서울특별시 송파구 중대로 80, 문정프라자 3층 (문정동)",비뇨의학과,2026-06-02,02-403-8297,37.4917620371568,127.117842816756
금약국,약국,서울,"서울특별시 성북구 안암로 103, 1층 (안암동5가)",,2026-06-09,010-5120-1140,37.5849977465648,127.031295062134
제이약국,약국,서울,"서울특별시 강남구 테헤란로 101, 이즈타워 B101호 (역삼동)",,2026-06-16,02-6959-6641,37.4986232309429,127.028065727387
사암제기동한의원,한의원,서울,"서울특별시 동대문구 고산자로 435, 2층 202호 (제기동)",,2026-06-08,02-2135-1419,37.5786265503925,127.038045164857
365열린1층약국,약국,서울,"서울특별시 강북구 도봉로 48, 1층 1호 (미아동)",,2026-06-26,02-945-2516,37.6132087260167,127.03040521095
양원한의원,한의원,서울,"서울특별시 중랑구 양원역로10길 17, 제이메디컬 301, 305호 (망우동)",,2026-06-18,02-432-0709,37.6068148562813,127.106910986181
평화한약국,약국,서울,서울특별시 구로구 개봉로,,2026-06-15,02-2688-0668,37.4915346715478,126.855944759864
새현대의원,의원,울산,"울산광역시 중구 반구정4길 64, 2층 (반구동)",일반의,2026-06-19,052-,35.5584724938165,129.34437445581
생기한의원,한의원,울산,"울산광역시 남구 삼산로 272, 4층 (삼산동)",,2026-06-11,052-256-8276,35.5388860978795,129.336879728796
호계큰약국,약국,울산,울산광역시 북구 호계로,,2026-06-15,052-700-1534,35.623380205934,129.35474368003
맑은약국,약국,경기,"경기도 평택시 비전5로 20-24, 106,107,135(일부)호 (비전동)",,2026-06-15,031-652-5335,36.9988746499235,127.11416658254
365하이약국,약국,경기,"경기도 남양주시 화도읍 마석로 33, 115호 (빌리브 센트하이)",,2026-06-23,070-4797-8406,37.6538878819739,127.305840197489
동탄프라임온누리약국,약국,경기,"경기도 화성시 동탄구 노작로 207, 103~111호 (반송동, 삼성스마트쉐르빌)",,2026-06-12,010-3720-8440,37.2065411462277,127.07499858617
케이플란트치과의원,치과의원,경기,"경기도 평택시 평택로 21, 1층 (평택동)",,2026-06-11,010-3330-2432,36.9895064527199,127.088517228822
온담약국,약국,경기,"경기도 용인시 기흥구 용구대로 2457, 이마트트레이더스 구성점 1층 (보정동)",,2026-06-15,031-211-8273,37.3039753941182,127.104650221848
에버메디크약국,약국,경기,"경기도 성남시 분당구 대왕판교로 155-6, 1-3층 (금곡동)",,2026-06-16,031-714-1556,37.3575441585428,127.100595001373
3층자이약국,약국,경기,"경기도 광명시 시청로 70, 근린생활시설 2동 310호 (철산동, 철산자이 더 헤리티지)",,2026-06-17,02-2612-9991,37.4820193247975,126.871335111183
기드온치과의원,치과의원,경기,"경기도 성남시 중원구 성남대로 1126, 메가프라자 303,304,305호 (성남동)",,2026-06-26,1522-7528,37.4302779255228,127.129865094766
스마트약국,약국,경기,경기도 수원시 권선구 금곡로,,2026-06-01,031-294-0119,37.2715657864252,126.935634740204
연세올데이성형외과의원,의원,경기,"경기도 수원시 영통구 도청로66번길 6, 216호~218호, 253호 (이의동, 힐스테이트광교중앙역퍼스트)",성형외과,2026-06-01,031-216-1119,37.2892170573398,127.051275350203
도경한의원,한의원,경기,"경기도 부천시 원미구 길주로 199, 굿모닝프라자 201호, 202호, 203호 (중동)",,2026-06-08,032-324-0100,37.5049960400136,126.764696561293
본별의원,의원,경기,"경기도 하남시 미사강변대로54번길 65, 1층 (풍산동)",일반의,2026-06-22,070-4177-9676,37.5559260642667,127.188887002865
센트럴대형약국,약국,경기,"경기도 남양주시 화도읍 경춘로 1725, 3층 일부호",,2026-06-23,010-7270-8825,37.6565355738538,127.281640380486
메가파크약국,약국,경기,"경기도 시흥시 중심상가1길 18, 1, 2층 (정왕동)",,2026-06-18,031-432-0205,37.3429693744274,126.735407715852
연세오로라안과의원,의원,경기,"경기도 용인시 수지구 현암로 128, 센타프라자 7층 701,702,703,704호 (죽전동)",안과,2026-06-01,031-896-7752,37.3314735249199,127.123499318147
메가웰니스약국,약국,경기,"경기도 화성시 동탄구 동탄순환대로27길 30, 2층 (영천동)",,2026-06-10,070-8866-6977,37.2081598236456,127.104357347025
일산끗한의원,한의원,경기,"경기도 고양시 일산동구 정발산로 33, 낙원프라자 8층 801, 803호 (장항동)",,2026-06-21,031-908-0365,37.6571708355044,126.772546706383
별내본플란트치과의원,치과의원,경기,"경기도 남양주시 별내중앙로 50, 4층 (별내동)",,2026-06-18,031-523-2476,37.6471015044565,127.123997266055
서울원케어내과의원,의원,경기,경기도 구리시 경춘로,내과,2026-06-08,031-523-2656,37.6007160365164,127.132592979728
장만위의원,의원,경기,경기도 안산시 단원구 화랑로,일반의,2026-06-11,031-508-1713,37.3220177685717,126.814030671607
하안약국,약국,경기,"경기도 부천시 원미구 길주로 219, 드림빌딩 209호 (중동)",,2026-06-22,032-326-3777,37.5047708009596,126.766792495273
오투성형외과의원,의원,경기,"경기도 수원시 팔달구 권광로175번길 31-12, 1~3층 (인계동)",성형외과,2026-06-22,031-237-8888,37.2633310256382,127.030203562801
서현역본튼튼365의원,의원,경기,"경기도 성남시 분당구 서현로210번길 2, 성지하이츠텔 4층 404호 (서현동)",일반의,2026-06-02,031-778-8491,37.386838920821,127.125482826153
판교다시봄정신건강의학과의원,의원,경기,"경기도 성남시 분당구 판교역로192번길 16, 판교타워 507,508호 (삼평동)",정신건강의학과,2026-06-01,031-8039-7701,37.3977452704965,127.11143339349
모두탑365정형외과의원,의원,경기,"경기도 평택시 고덕로 249, 3,4층 301~305, 403호 (고덕동)",정형외과,2026-06-25,031-611-2107,37.0369124480003,127.027940973127
동탄그린약국,약국,경기,"경기도 화성시 동탄구 동탄원천로 163, 위너스타 113호 (반송동)",,2026-06-15,031-377-8749,37.2073616526854,127.073690951644
바른약국,약국,경기,경기도 구리시 경춘로,,2026-06-22,031-556-4786,37.6007160365164,127.132592979728
오산다원의료소비자생활협동조합케이메디의원,의원,경기,"경기도 오산시 수목원로88번길 35, 의료시설동 3층 301호 (가수동)",일반의,2026-06-26,1660-3777,37.1432540168018,127.060063542351
위례탑재활의학과의원,의원,경기,"경기도 성남시 수정구 위례서일로 34, 위례성희프라자 2층 209호,210호,211호,212호,213호 (창곡동)",재활의학과,2026-06-08,031-757-7776,37.4643956367584,127.139491214202
마르엔한의원,한의원,경기,"경기도 성남시 분당구 성남대로331번길 7, 정자스타빌딩 202호 (정자동)",,2026-06-12,031-8039-6718,37.3654616232774,127.107204174051
맥스라이프약국,약국,경기,경기도 의정부시 동일로,,2026-06-30,031-877-1592,37.7274576416778,127.059726718312
수도약국,약국,경기,"경기도 성남시 분당구 새마을로177번길 79, 복지회관1관 2층 205-206호 (율동)",,2026-06-23,031-707-7785,,
연세일등정형외과의원,의원,경기,"경기도 시흥시 수인로 3370, 주신빌딩 3층 (신천동)",정형외과,2026-06-12,031-317-1119,37.4410021849054,126.784633765849
365운정중앙약국,약국,경기,경기도 파주시 물향기2로,,2026-06-11,010-2124-7114,37.7173171883398,126.730014612787
수브릿지약국,약국,경기,"경기도 구리시 경춘로 213, 108호 (인창동)",,2026-06-29,031-514-7500,37.6010289594963,127.13946428438
에이메디칼약국,약국,경기,"경기도 이천시 신중리로6번길 6, 1층 106호 (중리동)",,2026-06-25,031-666-6666,37.273073455142,127.436538678587
운정새로이치과의원,치과의원,경기,"경기도 파주시 물향기2로 157, 203호 (동패동)",,2026-06-18,031-8071-2275,37.7208816019703,126.729344836717
디오뜨의원,의원,경기,경기도 평택시 고덕국제대로,일반의,2026-06-12,031-666-5788,37.0543181799847,127.043697397948
다봄치과의원,치과의원,경기,"경기도 이천시 신중리로6번길 6, 더원퍼스트프라자 505, 506호 (중리동)",,2026-06-10,031-636-2028,37.273073455142,127.436538678587
팜프라자약국,약국,경기,경기도 양주시 평화로,,2026-06-05,010-6249-3900,37.8190181182399,127.046334335801
세교밝은약국,약국,경기,"경기도 오산시 수청로 197, 백현프라자 104호 (금암동)",,2026-06-23,031-375-5725,37.1765231257342,127.045083927986
경희라피엘한의원,한의원,경기,"경기도 고양시 덕양구 지축로 70, 지축푸리마타워 408~412호 (지축동)",,2026-06-17,02-6326-8275,37.6492985535591,126.915832677654
오늘마음정신건강의학과의원,의원,경기,"경기도 남양주시 별내중앙로 10, 별내역 아이파크 스위트 208~210호 (별내동)",정신건강의학과,2026-06-10,031-574-5055,37.6448465284725,127.127292049599
운정센트럴365의원,의원,경기,경기도 파주시 물향기2로,일반의,2026-06-11,031-941-1365,37.7173171883398,126.730014612787
메가타운약국 봉담이마트점,약국,경기,"경기도 화성시 효행구 봉담읍 효행로 278, 봉담이마트 B1층 B1300호",,2026-06-22,010-4835-3877,37.2224740960296,126.972686710741
미금삼성탑신경외과의원,의원,경기,"경기도 성남시 분당구 돌마로 79, 썬프라자 401,402호 (금곡동)",신경외과,2026-06-05,031-717-1179,37.3503955629695,127.110801530964
디센트로약국,약국,경기,"경기도 과천시 과천대로 112, 디센트로 2차 2층 212호 (갈현동)",,2026-06-10,070-8777-1783,37.4121165269095,126.981533729403
모두의치과의원,치과의원,경기,"경기도 남양주시 사릉로 14, 금곡프라자 4층 405호 (금곡동)",,2026-06-05,031-515-2080,37.6342709290322,127.207668072057
행복주는의원,의원,경기,"경기도 화성시 동탄구 동탄순환대로 263, 302호 (산척동)",일반의,2026-06-12,031-8055-3770,37.1711156023468,127.118572834169
운정바른속내과의원,의원,경기,"경기도 파주시 가람로 129, 401~404호 (와동동)",내과,2026-06-15,031-945-7119,37.7374495351877,126.762458430931
화성향남뷰티온의원,의원,경기,"경기도 화성시 만세구 향남읍 발안양감로 211, 501~504호",일반의,2026-06-01,031-353-7510,37.1157783195426,126.913229744929
365고양제일치과의원,치과의원,경기,"경기도 고양시 덕양구 혜음로 33, 3층 (고양동)",,2026-06-17,031-965-2879,37.7035646082437,126.901747859511
아산비전내과의원,의원,경기,"경기도 평택시 비전5로 20-24, 204,205,206호 (비전동)",내과,2026-06-01,031-8029-5288,36.9988746499235,127.11416658254
어반 수약국,약국,경기,"경기도 수원시 영통구 태장로 33, 어반스퀘어 5층 516호 (망포동)",,2026-06-25,031-203-9690,37.2393611305725,127.049820537886
에이블병원,병원,경기,"경기도 수원시 팔달구 향교로 161, 에이블타워 (중동)",,2026-06-19,031-1661-0775,37.2750172210672,127.01614059022
오스플란트치과병원,치과병원,경기,경기도 화성시 동탄구 동탄기흥로 447-20 (여울동),,2026-06-08,031-373-7525,37.2011752035817,127.091422823515
산본온치과의원,치과의원,경기,"경기도 군포시 금산로 104, 태영빌딩 3층 301호 (산본동)",,2026-06-09,031-360-2898,37.3712335873529,126.936648841077
얼굴본성형외과의원,의원,전남,전남광주통합특별시 서구 상무중앙로,성형외과,2026-06-02,372-0070,35.1563657571206,126.848369746459
메가하이약국,약국,전남,"전남광주통합특별시 서구 상무대로 1023, 1층 (화정동)",,2026-06-29,010-7378-9029,35.1520533740649,126.874011240328
인베스트의원,의원,전남,전남광주통합특별시 남구 효천2로가길,일반의,2026-06-12,010-2840-8575,35.1013567580065,126.874410318919
우리한의원,한의원,전남,전남광주통합특별시 무안군 망운면 운해로 1413,,2026-06-17,061-452-1078,35.0126797588816,126.392464117765
365순천명가약국,약국,전남,"전남광주통합특별시 순천시 조례2길 4, 1동 101호 (조례동)",,2026-06-01,061-900-9939,34.9637899001491,127.522194179681
리쥬베리의원,의원,전남,"전남광주통합특별시 동구 문화전당로26번길 6, 파랑새빌딩 3층 (남동)",일반의,2026-06-05,062-710-7300,35.1448645656579,126.920173384695
무안센텀정형외과의원,의원,전남,"전남광주통합특별시 무안군 무안읍 무안중앙로 11, 2,3층",정형외과,2026-06-15,061-453-7799,34.9885340018299,126.47768739622
공감병원,정신병원,전남,전남광주통합특별시 북구 우치로422번길,,2026-06-05,062-531-5000,35.203844597957,126.902556429154
상무대한의원,한의원,전남,전남광주통합특별시 장성군 삼서면 태청로,,2026-06-15,061-390-1552,35.2349941531898,126.625881144965
치유한방병원,한방병원,전남,전남광주통합특별시 북구 무등로,,2026-06-02,062-531-2000,35.1572200325951,126.973552245567
연세더케어치과의원,치과의원,세종,"세종특별자치시 보듬3로 91, 해피라움4 3층 305호 (아름동)",,2026-06-23,044-903-2882,36.5113495077348,127.249572810522
오셀청담의원,의원,서울,"서울특별시 강남구 영동대로 648, 삼안빌딩 6층 (삼성동)",일반의,2026-05-18,010-8782-3910,37.5199951301875,127.057667788625
셀메드 하나약국,약국,서울,"서울특별시 강서구 양천로57길 37, 가양도시개발공사아파트4단지 상가동 204호 (가양동)",,2026-05-08,02-3288-7337,37.5659376664079,126.852047007656
남선약국,약국,서울,"서울특별시 용산구 회나무로 23, 1층 (이태원동)",,2026-05-06,02-798-7460,37.5393451096725,126.989201170951
경희솔한의원,한의원,서울,"서울특별시 광진구 천호대로 559, 아스하임 301호 (중곡동)",,2026-05-18,02-495-7295,37.5572068050144,127.0804491297
심플인플란트치과의원,치과의원,서울,"서울특별시 서초구 서초대로 23, 3층 (방배동)",,2026-05-11,02-567-7528,37.4860446662802,126.984990371915
시오(Sio)의원,의원,서울,"서울특별시 마포구 양화로 125, 경남관광빌딩 6층 (서교동)",일반의,2026-05-27,02-337-7747,37.5547493986687,126.920309389675
잠실엘온누리약국,약국,서울,"서울특별시 송파구 올림픽로 329, 잠실르엘상가동 5층 529호 일부호 (신천동)",,2026-05-22,02-6475-7007,37.5161588169493,127.106659247528
메디영약국,약국,서울,"서울특별시 성동구 고산자로 229, 시큐레이어타워 1층 (행당동)",,2026-05-28,02-6953-9631,37.5605676916814,127.034311190505
스타온약국,약국,서울,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 3014, 3015호 (둔촌동)",,2026-05-04,02-425-1425,37.5274758605763,127.137046059861
